id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,componentnumber,strongcompnum
0,brutusnothing,,0,2,2,0.0,2.0,2.0,2,0,44
1,claudius,,0,4,4,0.0,11.0,11.0,2,0,48
2,cicero,,0,14,14,0.0,28.0,28.0,1,0,61
3,marcus,,0,17,17,0.0,22.0,22.0,4,0,62
4,dardanus,,0,4,4,0.0,9.0,9.0,0,0,65
5,doth,,2,30,32,2.0,75.0,77.0,2,0,60
6,clitus,,1,4,5,5.0,6.0,11.0,0,0,64
7,caesar,,3,43,46,21.0,331.0,352.0,1,0,59
8,lupercal,,1,4,5,1.0,3.0,4.0,1,0,58
9,publius,,2,16,18,6.0,31.0,37.0,4,0,57
10,popilius,,3,12,15,4.0,16.0,20.0,4,0,56
11,ghost,,3,10,13,5.0,12.0,17.0,2,0,47
12,anchises,,2,4,6,2.0,3.0,5.0,2,0,55
13,first soldier,,0,3,3,0.0,6.0,6.0,2,0,66
14,flavius,,2,20,22,4.0,35.0,39.0,2,0,52
15,soldier,,2,10,12,5.0,22.0,27.0,2,0,46
16,soothsayer,,5,14,19,11.0,20.0,31.0,1,0,49
17,thasos,,1,6,7,1.0,5.0,6.0,2,0,51
18,third plebeian,,1,10,11,2.0,27.0,29.0,3,0,54
19,brutus,,19,38,57,132.0,360.0,492.0,2,0,43
20,varro,,3,1,4,7.0,3.0,10.0,2,0,42
21,pindarus,,2,8,10,5.0,18.0,23.0,2,0,41
22,third soldier,,1,0,1,1.0,0.0,1.0,2,0,45
23,plebeians,,3,11,14,9.0,33.0,42.0,3,0,40
24,cassius,,16,31,47,177.0,161.0,338.0,2,0,39
25,plebeian,,5,10,15,63.0,69.0,132.0,3,0,37
26,nervii,,3,2,5,3.0,2.0,5.0,1,0,35
27,strato,,6,8,14,13.0,13.0,26.0,2,0,34
28,decius,,13,16,29,43.0,42.0,85.0,4,0,33
29,poet,,3,5,8,3.0,6.0,9.0,4,0,36
30,first plebeian,,3,2,5,21.0,2.0,23.0,3,0,32
31,cinna,,13,15,28,47.0,45.0,92.0,4,0,31
32,messenger,,2,1,3,2.0,0.0,2.0,4,0,30
33,second soldier,,2,1,3,3.0,1.0,4.0,2,0,29
34,pella,,2,2,4,2.0,1.0,3.0,2,0,38
35,octavius,,6,8,14,25.0,39.0,64.0,1,0,28
36,caius,,9,14,23,31.0,26.0,57.0,4,0,27
37,trebonius,,11,11,22,40.0,24.0,64.0,4,0,26
38,labeo,,5,5,10,7.0,6.0,13.0,2,0,25
39,statilius,,1,0,1,1.0,0.0,1.0,0,0,63
40,ligarius,,12,6,18,31.0,12.0,43.0,4,0,24
41,lucilius,,12,7,19,40.0,23.0,63.0,2,0,23
42,lepidus,,10,7,17,19.0,11.0,30.0,1,0,22
43,dost,,10,11,21,16.0,14.0,30.0,4,0,21
44,casca,,22,9,31,109.0,23.0,132.0,4,0,20
45,unshaked,,2,2,4,2.0,1.0,3.0,4,0,53
46,cato,,9,5,14,25.0,6.0,31.0,2,0,19
48,fourth plebeian,,6,1,7,23.0,2.0,25.0,3,0,17
49,messala,,18,5,23,63.0,20.0,83.0,2,0,9
50,carpenter,,1,2,3,1.0,2.0,3.0,1,0,50
51,artemidorus,,14,3,17,25.0,4.0,29.0,4,0,16
52,cimber,,15,1,16,31.0,6.0,37.0,4,0,15
53,second plebeian,,6,1,7,25.0,2.0,27.0,3,0,14
54,calphurnia,,11,3,14,23.0,4.0,27.0,1,0,13
55,marullus,,13,3,16,16.0,3.0,19.0,1,0,12
56,portia,,15,2,17,35.0,4.0,39.0,2,0,8
57,antony,,37,6,43,212.0,10.0,222.0,1,0,7
58,canst,,3,0,3,3.0,0.0,3.0,2,0,10
59,titinius,,17,1,18,72.0,4.0,76.0,2,0,4
60,volumnius,,15,0,15,21.0,0.0,21.0,2,0,3
61,servant,,10,1,11,19.0,1.0,20.0,1,0,6
62,lucius,,18,1,19,57.0,1.0,58.0,2,0,2
63,metellus,,22,1,23,74.0,1.0,75.0,4,0,1
64,hybla,,3,0,3,2.0,0.0,2.0,1,0,5
65,cobbler,,5,0,5,5.0,0.0,5.0,1,0,11
66,julius,,13,0,13,16.0,0.0,16.0,4,0,0
