top_words,strongcompnum,id,weighted degree,eigencentrality,modularity_class,componentnumber,label,weighted outdegree,clustering,weighted indegree,timeset,pageranks
king.they.lady.colors.lie.at.young.it.new.mother.,50,0,3.0,0.0,0,0,inverness,3.0,0.5,0.0,,0.0037450696414889177
lady.my.ay.king.they.tonight.done.scene.further.known.,51,1,20.0,0.0,1,0,lords,20.0,0.4821428656578064,0.0,,0.010160003538600786
lady.my.ay.king.they.tonight.done.scene.further.known.,52,2,3.0,0.0,1,0,canst,3.0,0.0,0.0,,0.0037051671658870373
king.they.lady.colors.lie.at.young.it.new.mother.,54,3,113.0,0.0,0,0,macduff,113.0,0.20333333313465118,0.0,,0.0513651654468457
lady.my.ay.king.they.tonight.done.scene.further.known.,53,4,23.0,0.0022416542100408593,1,0,fleance,22.0,0.4583333432674408,1.0,,0.01112846762663065
king.they.lady.colors.lie.at.young.it.new.mother.,49,5,90.0,0.008112552901715343,0,0,malcolm,75.0,0.2657894790172577,15.0,,0.03932711221872459
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,55,6,11.0,0.0,2,0,old man,11.0,0.5,0.0,,0.0067506515010869565
lady.my.ay.king.they.tonight.done.scene.further.known.,48,7,323.0,0.01942120592076472,1,0,macbeth,286.0,0.11614401638507843,37.0,,0.13598789702551087
lady.my.ay.king.they.tonight.done.scene.further.known.,47,8,105.0,0.016817627287261473,1,0,lady macbeth,32.0,0.3285714387893677,73.0,,0.041452555208581626
king.they.lady.colors.lie.at.young.it.new.mother.,37,9,107.0,0.03878975619311916,0,0,son,65.0,0.17311827838420868,42.0,,0.047165630987494496
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,43,10,23.0,0.02140131767618827,2,0,birnam,14.0,0.3030303120613098,9.0,,0.012913466814439504
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,36,11,9.0,0.050639138344039616,2,0,messenger,5.0,0.4047619104385376,4.0,,0.006061966261951946
king.they.lady.colors.lie.at.young.it.new.mother.,41,12,12.0,0.019159663466147402,0,0,captain,9.0,0.3055555522441864,3.0,,0.00851509796950841
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,46,13,4.0,0.014575973077220609,2,0,first apparition,2.0,0.5,2.0,,0.004601596182282579
lady.my.ay.king.they.tonight.done.scene.further.known.,45,14,25.0,0.021610204482395347,1,0,glamis,18.0,0.35555556416511536,7.0,,0.012601748390408705
king.they.lady.colors.lie.at.young.it.new.mother.,35,15,61.0,0.07481153464177934,0,0,lennox,35.0,0.2785714268684387,26.0,,0.027433540710694544
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,39,17,13.0,0.019159663466147402,2,0,doctor,9.0,0.261904776096344,4.0,,0.00807827245219515
lady.my.ay.king.they.tonight.done.scene.further.known.,38,18,8.0,0.0215688176642364,1,0,seyton,4.0,0.4166666567325592,4.0,,0.005794075606659702
light.affair.watch.yours.about.weighty.direction.reasons.beggared.sundry.,56,19,9.0,0.0,4,0,second murderer,9.0,0.3333333432674408,0.0,,0.006633975497472344
king.they.lady.colors.lie.at.young.it.new.mother.,33,20,39.0,0.06889332550388481,0,0,siward,19.0,0.32967033982276917,20.0,,0.020227943400907313
king.they.lady.colors.lie.at.young.it.new.mother.,31,21,4.0,0.018406844792994877,0,0,bellona,3.0,0.5,1.0,,0.004483607151174945
lady.my.ay.king.they.tonight.done.scene.further.known.,44,22,5.0,0.022036089274628516,1,0,sinel,3.0,0.5,2.0,,0.004583068173808818
lady.my.ay.king.they.tonight.done.scene.further.known.,30,23,102.0,0.13759035786136736,1,0,banquo,42.0,0.2153846174478531,60.0,,0.0433465131503915
lady.my.ay.king.they.tonight.done.scene.further.known.,26,24,74.0,0.19498313188917635,1,0,lord,18.0,0.23157894611358643,56.0,,0.033379969958483274
king.they.lady.colors.lie.at.young.it.new.mother.,25,25,6.0,0.07372555181517507,0,0,porter,2.0,0.44999998807907104,4.0,,0.0050553799995920225
king.they.lady.colors.lie.at.young.it.new.mother.,24,26,63.0,0.23062938162610577,0,0,ross,24.0,0.23593074083328247,39.0,,0.030768072125461548
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,42,27,5.0,0.02295640793582917,2,0,third apparition,3.0,0.5,2.0,,0.005190624233711579
king.they.lady.colors.lie.at.young.it.new.mother.,23,28,2.0,0.067037270978745,0,0,sweno,1.0,0.5,1.0,,0.0046055509512625695
light.affair.watch.yours.about.weighty.direction.reasons.beggared.sundry.,20,29,53.0,0.14533556366630998,4,0,murderer,28.0,0.24285714328289032,25.0,,0.027973533777042824
lady.my.ay.king.they.tonight.done.scene.further.known.,18,30,40.0,0.18035234147715165,1,0,cawdor,13.0,0.2857142984867096,27.0,,0.019243246668754214
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,29,31,18.0,0.08923565768605063,2,0,apparition,6.0,0.2916666567325592,12.0,,0.012978791498064326
cauldron.bubble.hail.witches.etc.show.sister.hate.cat.heath.,27,32,18.0,0.05851935024177166,3,0,third witch,13.0,0.5,5.0,,0.009375262000185389
cauldron.bubble.hail.witches.etc.show.sister.hate.cat.heath.,17,33,34.0,0.12848470872061854,3,0,first witch,26.0,0.3928571343421936,8.0,,0.015678197908790267
king.they.lady.colors.lie.at.young.it.new.mother.,16,34,40.0,0.22824714652856495,0,0,donalbain,6.0,0.3571428656578064,34.0,,0.018218094721223103
cauldron.bubble.hail.witches.etc.show.sister.hate.cat.heath.,15,35,81.0,0.24188238100221127,3,0,witch,25.0,0.2747252881526947,56.0,,0.03631513128289631
