target,weight,source
19,1,0
49,1,0
11,1,1
19,3,1
20,4,1
62,3,1
5,1,2
7,4,2
14,1,2
16,1,2
19,3,2
24,5,2
28,1,2
44,6,2
47,3,2
49,1,2
54,2,2
55,1,2
56,1,2
57,1,2
5,1,3
7,1,3
19,3,3
24,2,3
28,1,3
31,1,3
36,2,3
37,1,3
41,1,3
43,1,3
44,1,3
46,3,3
47,2,3
57,1,3
59,1,3
63,1,3
66,1,3
6,5,4
19,2,4
27,1,4
60,1,4
7,16,5
9,1,5
10,1,5
11,1,5
12,1,5
19,12,5
24,13,5
27,1,5
28,2,5
31,1,5
32,1,5
34,1,5
35,1,5
36,1,5
37,2,5
40,1,5
43,1,5
44,2,5
45,1,5
46,1,5
47,15,5
49,1,5
52,3,5
54,1,5
56,2,5
57,1,5
59,1,5
60,1,5
62,3,5
63,1,5
19,3,6
27,1,6
39,1,6
60,1,6
8,1,7
9,5,7
10,2,7
11,3,7
12,1,7
14,3,7
16,7,7
18,2,7
19,72,7
21,2,7
23,3,7
24,42,7
25,10,7
26,1,7
27,1,7
28,13,7
30,1,7
31,7,7
35,4,7
36,7,7
37,5,7
40,3,7
42,3,7
43,4,7
44,20,7
45,1,7
47,95,7
48,2,7
51,6,7
52,7,7
53,3,7
54,10,7
55,2,7
56,5,7
57,50,7
58,1,7
59,1,7
60,1,7
61,5,7
62,2,7
63,9,7
65,1,7
66,3,7
19,1,8
47,1,8
55,1,8
57,1,8
10,1,9
16,1,9
19,6,9
24,3,9
28,1,9
31,2,9
36,1,9
37,2,9
40,2,9
42,2,9
44,3,9
47,3,9
51,1,9
52,2,9
57,2,9
63,2,9
16,1,10
19,3,10
24,4,10
28,1,10
31,1,10
37,1,10
42,1,10
44,1,10
47,1,10
51,1,10
57,1,10
63,1,10
15,1,11
19,3,11
20,1,11
24,2,11
44,1,11
47,3,11
49,1,11
54,1,11
60,1,11
62,1,11
19,1,12
24,1,12
47,1,12
59,1,12
15,4,13
19,1,13
41,1,13
16,1,14
17,1,14
19,5,14
24,2,14
27,1,14
28,1,14
38,2,14
41,3,14
43,1,14
44,2,14
46,3,14
47,7,14
49,3,14
50,1,14
54,1,14
55,3,14
56,1,14
57,1,14
60,1,14
65,2,14
19,6,15
22,1,15
24,5,15
33,2,15
35,3,15
41,1,15
47,6,15
49,1,15
57,2,15
59,1,15
19,3,16
24,3,16
28,2,16
31,1,16
37,1,16
42,1,16
44,2,16
47,3,16
51,1,16
54,1,16
55,1,16
56,1,16
57,2,16
63,1,16
19,1,17
24,1,17
38,1,17
41,1,17
46,1,17
47,1,17
19,3,18
23,1,18
24,1,18
25,16,18
28,1,18
31,1,18
40,1,18
44,1,18
47,2,18
57,2,18
20,2,19
21,3,19
23,5,19
24,84,19
25,13,19
26,1,19
27,8,19
28,8,19
30,2,19
31,8,19
33,1,19
35,12,19
36,9,19
37,6,19
38,2,19
40,8,19
41,19,19
42,2,19
43,2,19
44,14,19
46,8,19
47,111,19
48,3,19
49,19,19
51,3,19
52,2,19
53,2,19
54,2,19
55,1,19
56,15,19
57,41,19
58,2,19
59,14,19
60,6,19
61,3,19
62,21,19
63,6,19
66,3,19
62,3,20
24,6,21
36,1,21
41,2,21
47,6,21
49,1,21
57,1,21
59,6,21
62,1,21
24,3,23
25,20,23
28,1,23
29,1,23
31,2,23
40,1,23
44,1,23
47,5,23
48,1,23
53,1,23
57,2,23
25,4,24
26,1,24
28,10,24
29,1,24
31,11,24
34,1,24
35,4,24
36,6,24
37,7,24
38,1,24
40,2,24
41,7,24
42,2,24
43,3,24
44,22,24
46,2,24
47,79,24
49,10,24
51,2,24
52,3,24
53,1,24
54,2,24
55,1,24
56,3,24
57,22,24
59,18,24
61,2,24
62,6,24
63,5,24
64,1,24
66,1,24
28,1,25
29,1,25
30,18,25
31,3,25
40,1,25
44,1,25
47,12,25
48,16,25
53,18,25
57,10,25
44,1,26
57,1,26
35,1,27
38,1,27
41,1,27
46,1,27
47,1,27
49,5,27
57,1,27
60,3,27
31,6,28
36,2,28
37,6,28
40,2,28
42,1,28
43,1,28
44,6,28
47,14,28
51,2,28
52,2,28
54,2,28
55,1,28
56,1,28
57,4,28
63,5,28
66,1,28
31,3,29
41,1,29
47,8,29
59,1,29
62,1,29
47,2,30
57,2,30
32,1,31
36,2,31
37,7,31
40,3,31
42,1,31
43,1,31
44,10,31
47,17,31
48,1,31
51,2,31
52,4,31
57,2,31
61,1,31
63,9,31
66,1,31
47,2,32
57,1,33
47,1,34
62,1,34
41,1,35
42,5,35
47,14,35
49,7,35
57,21,35
59,2,35
60,1,35
61,2,35
37,2,36
40,5,36
43,1,36
44,3,36
47,8,36
49,1,36
51,1,36
52,1,36
57,4,36
59,1,36
61,1,36
62,1,36
63,4,36
66,1,36
40,2,37
42,1,37
43,1,37
44,5,37
47,8,37
51,2,37
52,1,37
57,4,37
61,1,37
63,6,37
66,1,37
41,2,38
46,2,38
47,1,38
49,1,38
60,1,38
44,4,40
47,6,40
51,1,40
52,1,40
62,2,40
63,4,40
46,4,41
47,9,41
49,6,41
57,2,41
59,7,41
60,1,41
