source,target,weight
0,8,1
0,9,1
0,10,3
0,12,1
0,13,1
0,20,1
0,35,2
0,52,2
0,58,3
0,59,1
0,60,2
0,63,1
0,67,1
0,69,2
0,70,2
1,20,1
2,9,1
2,10,4
2,19,1
2,27,1
2,28,1
2,33,1
2,42,4
2,48,2
2,58,1
3,70,1
4,10,1
5,12,1
5,60,1
6,9,1
6,10,1
6,30,1
6,41,1
6,69,1
6,70,1
7,20,1
8,10,6
8,12,1
8,13,3
8,20,1
8,21,1
8,35,1
8,41,2
8,48,7
8,52,1
8,58,6
8,60,1
8,63,1
8,67,3
8,69,1
8,70,1
9,10,10
9,11,1
9,12,3
9,13,2
9,16,1
9,17,1
9,19,1
9,20,4
9,21,2
9,24,1
9,25,1
9,27,1
9,28,1
9,30,5
9,33,1
9,35,4
9,36,1
9,38,2
9,40,1
9,41,4
9,42,1
9,48,8
9,51,1
9,53,1
9,58,3
9,59,1
9,62,1
9,63,1
9,66,1
9,68,1
9,69,2
9,70,3
10,11,1
10,12,20
10,13,6
10,15,5
10,16,12
10,17,1
10,18,1
10,19,1
10,20,10
10,21,7
10,23,2
10,24,1
10,26,1
10,27,1
10,28,1
10,30,15
10,33,2
10,35,17
10,38,1
10,39,1
10,41,26
10,42,8
10,45,3
10,48,44
10,51,6
10,52,7
10,53,1
10,54,1
10,55,1
10,56,1
10,58,30
10,60,7
10,61,1
10,62,1
10,63,10
10,65,1
10,67,6
10,68,1
10,69,8
10,70,8
11,58,1
11,62,1
12,13,3
12,15,4
12,16,9
12,20,4
12,21,6
12,22,1
12,29,2
12,30,5
12,31,1
12,33,1
12,35,17
12,41,6
12,42,1
12,44,1
12,45,2
12,48,12
12,50,1
12,51,2
12,52,7
12,53,1
12,56,1
12,58,12
12,60,9
12,61,1
12,63,8
12,65,1
12,67,2
12,68,1
12,69,1
12,70,1
13,16,1
13,20,4
13,21,8
13,25,1
13,30,1
13,35,4
13,41,3
13,48,4
13,51,1
13,52,1
13,58,7
13,60,1
13,63,1
13,67,11
13,69,1
13,70,1
14,35,1
15,16,4
15,21,3
15,26,1
15,30,1
15,35,1
15,41,1
15,44,1
15,48,2
15,52,1
15,56,1
15,58,4
15,60,1
15,63,13
16,20,6
16,21,8
16,29,3
16,30,1
16,35,14
16,36,1
16,41,6
16,46,1
16,47,1
16,48,6
16,51,3
16,52,3
16,54,1
16,55,1
16,58,4
16,60,3
16,63,6
16,64,1
16,67,1
16,69,3
16,70,3
17,30,1
17,38,1
17,41,1
17,48,1
17,51,1
18,30,1
18,41,1
18,62,1
19,27,1
19,28,1
19,48,1
20,21,8
20,30,7
20,35,10
20,36,1
20,39,1
20,40,1
20,41,4
20,45,1
20,48,2
20,51,1
20,52,4
20,54,1
20,55,1
20,58,11
20,60,5
20,62,8
20,63,2
20,66,1
20,67,4
20,69,6
20,70,7
20,71,1
21,30,3
21,35,8
21,39,1
21,40,1
21,41,14
21,48,6
21,51,1
21,52,1
21,58,5
21,60,1
21,63,5
21,67,6
21,69,3
21,70,2
22,29,1
22,52,1
22,58,1
22,60,1
26,35,2
26,48,1
26,58,1
26,63,2
27,28,1
27,48,1
28,48,1
29,35,2
29,48,1
29,52,2
29,58,6
29,60,2
29,63,1
30,34,1
30,35,5
30,36,1
30,38,1
30,39,2
30,40,1
30,41,8
30,42,2
30,48,10
30,51,1
30,52,5
30,56,1
30,58,3
30,60,5
30,62,1
30,63,4
30,65,1
30,66,1
30,67,1
30,69,2
30,70,7
31,35,1
31,60,2
32,70,1
33,42,2
33,48,2
33,53,1
33,58,1
33,68,1
34,39,1
34,41,1
34,48,1
34,52,1
34,60,1
34,63,1
35,36,2
35,40,1
35,41,10
35,46,1
35,48,4
35,50,1
35,51,3
35,52,10
35,58,10
35,60,12
35,61,1
35,62,3
35,63,5
35,66,2
35,67,4
35,69,9
35,70,11
36,46,1
36,51,1
36,52,1
36,60,1
36,63,1
36,66,1
37,47,1
37,64,1
38,41,1
38,48,1
38,51,1
39,41,2
39,48,1
39,52,1
39,60,1
39,63,3
41,45,3
41,48,16
41,50,1
41,51,2
41,52,5
41,54,1
41,58,16
41,60,5
41,62,1
41,63,5
41,66,1
41,67,3
41,69,8
41,70,7
42,48,5
42,53,1
42,58,1
42,68,1
42,69,1
42,70,1
43,58,1
43,60,1
44,48,1
44,49,1
44,58,1
44,63,1
45,48,3
45,57,1
45,58,15
45,63,1
45,69,1
45,70,1
46,51,1
46,52,1
46,60,1
46,63,1
47,64,14
48,49,1
48,51,7
48,52,6
48,53,1
48,54,3
48,57,1
48,58,25
48,60,6
48,63,7
48,65,1
48,67,4
48,68,1
49,58,1
50,69,2
50,70,1
51,52,2
51,54,1
51,58,2
51,60,3
51,63,1
51,67,1
51,69,1
51,70,1
52,56,1
52,58,14
52,60,31
52,62,1
52,63,5
52,65,1
52,67,1
52,69,2
52,70,2
53,68,1
54,58,1
54,60,1
54,67,1
55,58,1
55,70,1
56,60,1
56,63,1
57,58,1
58,59,1
58,60,17
58,63,8
58,67,7
58,69,4
58,70,5
59,63,1
60,62,1
60,63,5
60,65,1
60,67,1
60,69,2
60,70,2
61,63,1
62,69,1
62,70,3
62,71,1
63,65,1
63,67,1
63,70,1
67,69,1
67,70,1
69,70,24
