target,source,weight
3,0,5
21,0,1
24,0,1
25,0,1
32,0,1
41,0,5
3,1,5
8,1,3
14,1,6
25,1,2
27,1,1
28,1,2
31,1,1
32,1,2
34,1,2
37,1,2
41,1,4
44,1,45
6,2,2
14,2,3
25,2,10
27,2,2
28,2,7
32,2,2
41,2,3
43,2,14
4,3,3
5,3,1
8,3,9
10,3,10
12,3,1
14,3,2
15,3,1
19,3,1
24,3,1
25,3,2
26,3,5
27,3,25
28,3,6
31,3,1
32,3,1
34,3,2
35,3,1
37,3,3
38,3,1
39,3,7
41,3,14
44,3,9
8,4,2
10,4,2
14,4,2
25,4,1
27,4,5
28,4,4
31,4,2
37,4,1
44,4,2
8,5,1
27,5,1
32,6,1
43,6,1
37,7,1
10,8,1
14,8,3
25,8,1
26,8,2
27,8,5
28,8,2
31,8,2
32,8,2
34,8,4
37,8,1
39,8,1
41,8,3
44,8,2
14,9,1
37,9,1
44,9,2
14,10,4
25,10,1
26,10,1
27,10,19
28,10,10
32,10,3
37,10,7
39,10,3
41,10,1
44,10,3
46,10,1
28,11,1
36,11,1
19,12,1
27,12,1
44,12,1
27,13,1
20,14,2
25,14,2
27,14,8
28,14,4
32,14,1
33,14,1
34,14,2
37,14,3
41,14,3
43,14,1
44,14,14
26,15,1
40,15,1
41,15,4
22,16,1
30,16,1
35,16,1
37,16,1
44,16,6
41,17,1
25,18,1
27,19,1
44,19,1
25,20,2
28,20,1
31,20,1
41,21,1
30,22,1
41,23,1
25,24,1
27,25,5
28,25,18
31,25,1
32,25,1
34,25,1
37,25,3
39,25,1
41,25,5
42,25,1
43,25,1
44,25,5
27,26,1
28,26,1
35,26,1
39,26,7
41,26,2
28,27,10
32,27,6
34,27,1
37,27,5
39,27,3
41,27,6
43,27,1
44,27,20
46,27,3
31,28,2
32,28,1
34,28,2
36,28,1
37,28,5
39,28,4
44,28,9
37,29,1
34,31,1
37,32,1
41,32,4
43,32,1
44,32,5
46,32,1
44,33,1
37,34,2
41,34,1
44,34,2
37,35,1
39,35,1
44,35,1
41,37,1
44,37,26
39,38,1
41,40,1
44,41,5
45,41,2
