id,label
0,baptista
1,marcellus
2,king
3,messenger
4,hamlet
5,illo
6,dost
7,doth
8,doctor
9,barnardo
10,gertrude
11,hillo
12,rosencrantz
13,hadst
14,hast
15,player queen
16,player
17,gentlemen
18,jephthah
19,claudio
20,player king
21,other
22,canst
23,wittenberg
24,sailor
25,gonzago
26,polonius
27,osric
28,reynaldo
29,julius
30,first player
31,gentleman
32,hecuba
33,nemean
34,voltemand
35,roscius
36,laertes
37,lamord
38,francisco
39,danskers
40,fortinbras
41,ghost
42,lord
43,gravedigger
44,horatio
45,cornelius
46,lucianus
47,guildenstern
48,ophelia
49,captain
50,queen
51,yorick
52,elsinore
