label,id
perdie,0
jailer,1
epidaurus,2
balthasar,3
dost,4
first merchant,5
syracuse,6
antipholus,7
ephesus,8
doth,9
epidamium,10
dromio of,11
hast,12
pinch,13
spake,14
ciceley,15
messenger,16
of ephesus,17
duke,18
dr,19
of syracuse,20
second merchant,21
abbess,22
syracusian,23
luce,24
menaphon,25
egeon,26
lady abbess,27
luciana,28
solinus,29
shouldst,30
courtesan,31
act,32
officer,33
ginn,34
antipholus of,35
belgia,36
merchant,37
nell,38
syracusa,39
certes,40
dromio,41
angelo,42
gillian,43
pleaseth,44
adriana,45
