label,id
alarbus,0
wheak,1
caius,2
stygia,3
magni,4
messenger,5
procne,6
enceladus,7
mutius,8
doth,9
titus,10
cornelia,11
andronicus,12
martius,13
acteon,14
romans,15
saturninus,16
philomela,17
nilus,18
apollinem,19
aaron,20
bassianus,21
coriolanus,22
virginius,23
forwhy,24
pyramus,25
andronici,26
jovem,27
martem,28
aemilius,29
hast,30
first goth,31
mauri,32
sempronius,33
junius,34
tamora,35
emperess,36
jubiter,37
tereus,38
lucrece,39
seest,40
lavinia,41
publius,42
second goth,43
captain,44
young lucius,45
hymenaeus,46
fellow,47
marcus,48
sinon,49
hadst,50
dost,51
goths,52
terras,53
canst,54
gramercy,55
cometh,56
hecuba,57
lucius,58
remaineth,59
goth,60
sufficeth,61
nurse,62
roman,63
country fellow,64
pius,65
semiramis,66
quintus,67
astraea,68
chiron,69
demetrius,70
muliteus,71
