id,label
0,tubal
1,balthazar
2,lancelet
3,antonio
4,salerio
5,consisteth
6,margery
7,montferrat
8,duke
9,arragon
10,gratiano
11,cressid
12,colchos
13,gramercy
14,doth
15,rialto
16,morocco
17,barabbas
18,aeson
19,cato
20,stephano
21,leah
22,solyman
23,hagar
24,chus
25,jessica
26,solanio
27,bassanio
28,lorenzo
29,falconbridge
30,lychas
31,messenger
32,hast
33,endymion
34,bellario
35,servingman
36,troilus
37,nerissa
38,goodwins
39,salarino
40,nazarite
41,shylock
42,thisbe
43,gobbo
44,portia
45,abram
46,leonardo
