id,label,timeset,modularity_class,weighted indegree,weighted outdegree,weighted degree,componentnumber,strongcompnum,indegree,outdegree,degree
0,alarbus,,1,0.0,24.0,24.0,0,60,0,15,15
1,wheak,,1,0.0,1.0,1.0,0,61,0,1,1
2,caius,,0,0.0,16.0,16.0,0,62,0,9,9
3,stygia,,1,0.0,1.0,1.0,0,63,0,1,1
4,magni,,0,0.0,1.0,1.0,0,64,0,1,1
5,messenger,,3,0.0,2.0,2.0,0,65,0,2,2
6,procne,,0,0.0,6.0,6.0,0,66,0,6,6
7,enceladus,,1,0.0,1.0,1.0,0,67,0,1,1
8,mutius,,0,1.0,36.0,37.0,0,59,1,15,16
9,doth,,0,3.0,71.0,74.0,0,58,3,32,35
10,titus,,0,25.0,277.0,302.0,0,57,6,40,46
11,cornelia,,0,2.0,2.0,4.0,0,56,2,2,4
12,andronicus,,2,26.0,123.0,149.0,0,48,5,30,35
13,martius,,2,15.0,50.0,65.0,0,41,5,16,21
14,acteon,,2,0.0,1.0,1.0,0,68,0,1,1
15,romans,,3,9.0,34.0,43.0,0,47,2,13,15
16,saturninus,,2,27.0,76.0,103.0,0,40,5,21,26
17,philomela,,0,2.0,5.0,7.0,0,55,2,5,7
18,nilus,,0,1.0,3.0,4.0,0,54,1,3,4
19,apollinem,,0,3.0,3.0,6.0,0,53,3,3,6
20,aaron,,1,32.0,87.0,119.0,0,35,9,22,31
21,bassianus,,2,43.0,57.0,100.0,0,34,8,14,22
22,coriolanus,,3,1.0,4.0,5.0,0,45,1,4,5
23,virginius,,0,2.0,0.0,2.0,0,52,1,0,1
24,forwhy,,0,2.0,0.0,2.0,0,51,2,0,2
25,pyramus,,2,2.0,0.0,2.0,0,36,2,0,2
26,andronici,,3,2.0,6.0,8.0,0,46,2,4,6
27,jovem,,0,4.0,2.0,6.0,0,50,4,2,6
28,martem,,0,5.0,1.0,6.0,0,49,5,1,6
29,aemilius,,2,6.0,14.0,20.0,0,39,3,6,9
30,hast,,0,41.0,63.0,104.0,0,33,11,21,32
31,first goth,,3,1.0,3.0,4.0,0,44,1,2,3
32,mauri,,1,0.0,1.0,1.0,0,69,0,1,1
33,sempronius,,0,5.0,7.0,12.0,0,43,4,5,9
34,junius,,3,1.0,6.0,7.0,0,32,1,6,7
35,tamora,,2,89.0,89.0,178.0,0,27,15,17,32
36,emperess,,2,6.0,6.0,12.0,0,26,5,6,11
37,jubiter,,4,0.0,2.0,2.0,0,70,0,2,2
38,tereus,,0,5.0,3.0,8.0,0,31,4,3,7
39,lucrece,,3,6.0,8.0,14.0,0,29,5,5,10
40,seest,,2,5.0,0.0,5.0,0,25,5,0,5
41,lavinia,,0,91.0,74.0,165.0,0,24,17,14,31
42,publius,,0,18.0,10.0,28.0,0,30,6,6,12
43,second goth,,3,0.0,2.0,2.0,0,71,0,2,2
44,captain,,3,2.0,4.0,6.0,0,42,2,4,6
45,young lucius,,0,9.0,22.0,31.0,0,23,4,6,10
46,hymenaeus,,2,3.0,4.0,7.0,0,22,3,4,7
47,fellow,,4,2.0,14.0,16.0,0,38,2,1,3
48,marcus,,0,143.0,63.0,206.0,0,21,26,12,38
49,sinon,,0,2.0,1.0,3.0,0,20,2,1,3
50,hadst,,1,3.0,3.0,6.0,0,16,3,2,5
51,dost,,0,32.0,12.0,44.0,0,15,15,8,23
52,goths,,3,62.0,58.0,120.0,0,11,20,9,29
53,terras,,0,6.0,1.0,7.0,0,19,6,1,7
54,canst,,0,8.0,3.0,11.0,0,14,6,3,9
55,gramercy,,1,3.0,2.0,5.0,0,28,3,2,5
56,cometh,,3,5.0,2.0,7.0,0,10,5,2,7
57,hecuba,,0,2.0,1.0,3.0,0,18,2,1,3
58,lucius,,0,188.0,42.0,230.0,0,9,30,6,36
59,remaineth,,1,3.0,1.0,4.0,0,8,3,1,4
60,goth,,3,122.0,12.0,134.0,0,7,27,6,33
61,sufficeth,,2,3.0,1.0,4.0,0,13,3,1,4
62,nurse,,1,19.0,5.0,24.0,0,6,10,3,13
63,roman,,3,102.0,3.0,105.0,0,4,29,3,32
64,country fellow,,4,16.0,0.0,16.0,0,37,3,0,3
65,pius,,3,7.0,0.0,7.0,0,3,7,0,7
66,semiramis,,2,7.0,0.0,7.0,0,12,6,0,6
67,quintus,,2,58.0,2.0,60.0,0,2,18,2,20
68,astraea,,0,7.0,0.0,7.0,0,17,7,0,7
69,chiron,,1,62.0,24.0,86.0,0,1,22,1,23
70,demetrius,,1,99.0,0.0,99.0,0,0,27,0,27
71,muliteus,,1,2.0,0.0,2.0,0,5,2,0,2
